Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.3%,6.1%,4.4%,5.8%,6.4%,6.5%,2.5%,4.8%,3.1%,.22%,3.29%,5.26%,5.65%,-.54%,-.21%,5.39%,4.62%,5.54%,3.17%,-.26%,2.54%,-1.8%,4.58%,7.24%,4.17%,3.46%,3.45%,4.18%,3.67%,1.89%,-.11%,3.52%,2.75%,4.03%,2.68%,3.77%,4.45%,4.48%,4.79%,4.08%,.96%,1.7%,2.8%,3.85%,3.48%,2.78%,2.%,.11%,-2.58%,2.7%,1.56%,2.29%,2.12%,2.52%,2.95%,1.82%,2.46%,2.97%,2.58%,-2.16%,6.06%,2.51%,2.89%
Uzbekistan,UZB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14%,3.09%,1.6%,-.49%,-11.2%,-2.3%,-5.2%,-.9%,1.7%,5.2%,4.3%,4.3%,3.84%,4.16%,3.97%,4.23%,7.45%,6.95%,7.45%,9.47%,9.03%,8.05%,7.6%,7.53%,7.1%,7.3%,6.87%,7.22%,5.93%,4.4%,5.56%,6.78%,1.56%,8.03%,6.%,6.29%
St. Vincent and the Grenadines,VCT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.53%,3.69%,-6.27%,3.67%,.88%,.%,-9.52%,6.51%,2.86%,10.75%,2.97%,25.83%,-11.1%,-8.82%,-7.61%,10.38%,13.23%,9.78%,3.38%,2.44%,4.61%,4.48%,2.17%,6.59%,6.18%,5.6%,.44%,14.07%,1.41%,4.15%,1.14%,6.38%,4.25%,-1.25%,7.77%,1.29%,3.51%,4.09%,2.71%,1.64%,1.75%,5.34%,6.69%,4.11%,2.49%,7.%,3.32%,.4%,-1.38%,-4.47%,-.61%,1.17%,2.46%,1.25%,2.78%,4.15%,1.45%,3.18%,.66%,-3.74%,.75%,7.16%,6.02%
"Venezuela, RB",VEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.19%,8.53%,3.9%,11.13%,4.16%,1.51%,2.83%,7.34%,.71%,7.71%,1.48%,1.28%,7.11%,2.07%,2.9%,7.73%,6.27%,2.35%,.76%,-4.42%,-.36%,-2.07%,-3.76%,1.44%,.19%,6.51%,3.58%,5.82%,-8.57%,6.47%,9.73%,6.06%,.28%,-2.35%,3.95%,-.2%,6.37%,.29%,-5.97%,3.69%,3.39%,-8.86%,-7.76%,18.29%,10.32%,9.87%,8.75%,5.28%,-3.2%,-1.49%,4.18%,5.63%,1.34%,-3.89%,,,,,,,,,
British Virgin Islands,VGB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.4%,3.29%,3.49%,3.5%,4.01%,1.22%,-6.59%,.6%,-8.2%,-14.81%,-6.29%,-1.77%,-.43%,1.6%,-.74%,1.88%,2.91%,-1.61%,3.67%,-1.31%,
Viet Nam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,3.81%,2.79%,3.58%,5.14%,7.36%,5.1%,5.96%,8.65%,8.07%,8.84%,9.54%,9.34%,8.15%,5.76%,4.77%,6.79%,6.19%,6.32%,6.9%,7.54%,7.55%,6.98%,7.13%,5.66%,5.4%,6.42%,6.41%,5.5%,5.55%,6.42%,6.99%,6.69%,6.94%,7.47%,7.36%,2.87%,2.55%,8.12%,5.05%
Vanuatu,VUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,-11.4%,4.38%,1.98%,3.01%,9.57%,1.%,-.15%,-2.89%,-1.69%,1.53%,11.7%,3.15%,2.59%,.74%,9.08%,1.%,2.33%,4.91%,1.18%,.34%,5.92%,-3.4%,-5.2%,4.29%,3.99%,5.31%,8.46%,2.88%,5.6%,3.04%,1.26%,3.14%,1.01%,.46%,3.14%,.37%,4.69%,6.32%,2.9%,3.24%,-4.99%,-1.55%,1.92%,2.21%
World,WLD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.96%,5.32%,5.02%,6.57%,5.61%,5.43%,3.73%,5.93%,5.98%,3.75%,4.27%,5.6%,6.4%,1.93%,.56%,5.18%,4.01%,4.16%,4.18%,1.88%,1.94%,.36%,2.63%,4.68%,3.71%,3.23%,3.75%,4.55%,3.72%,2.72%,1.21%,2.02%,1.84%,3.34%,3.1%,3.58%,3.95%,2.84%,3.59%,4.53%,2.03%,2.32%,3.09%,4.47%,4.02%,4.46%,4.37%,2.06%,-1.34%,4.52%,3.34%,2.69%,2.87%,3.13%,3.13%,2.81%,3.45%,3.28%,2.68%,-2.88%,6.35%,3.24%,2.83%
Samoa,WSM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,13.51%,1.59%,7.29%,-10.68%,-3.8%,9.32%,-.78%,6.25%,10.91%,-6.19%,-9.03%,-.96%,.43%,1.29%,3.92%,5.5%,.48%,-1.44%,3.71%,-4.42%,-2.3%,-.2%,4.1%,-2.54%,6.67%,7.18%,.64%,2.19%,2.19%,5.09%,7.39%,5.65%,5.21%,3.09%,6.64%,2.13%,.49%,3.56%,-.54%,6.12%,3.85%,-3.73%,.11%,.66%,3.85%,7.98%,1.41%,-.61%,4.45%,-3.11%,-7.08%,-5.31%,8.58%
Kosovo,XKX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.03%,4.94%,6.32%,1.71%,5.34%,3.35%,5.92%,5.57%,4.83%,3.41%,4.76%,-5.34%,10.75%,4.28%,4.07%
"Yemen, Rep.",YEM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.29%,8.21%,4.%,6.72%,5.67%,4.63%,5.23%,6.01%,3.78%,6.18%,3.8%,3.94%,3.75%,3.97%,5.59%,3.17%,3.34%,3.65%,3.87%,7.7%,-12.71%,2.39%,4.82%,-.19%,-27.99%,-9.38%,-5.07%,.75%,,,,,
South Africa,ZAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.84%,6.18%,7.37%,7.94%,6.12%,4.44%,7.2%,4.15%,4.72%,5.25%,4.28%,1.65%,4.57%,6.11%,1.7%,2.25%,-.09%,3.01%,3.79%,6.62%,5.36%,-.38%,-1.85%,5.1%,-1.21%,.02%,2.1%,4.2%,2.39%,-.32%,-1.02%,-2.14%,1.23%,3.2%,3.1%,4.3%,2.6%,.5%,2.4%,4.2%,2.7%,3.7%,2.95%,4.55%,5.28%,5.6%,5.36%,3.19%,-1.54%,3.04%,3.17%,2.4%,2.49%,1.41%,1.32%,.66%,1.16%,1.56%,.26%,-6.17%,4.96%,1.91%,.7%
Zambia,ZMB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.36%,-2.49%,3.27%,12.21%,16.65%,-5.57%,7.92%,1.25%,-.44%,4.8%,-.09%,9.21%,-.96%,6.43%,-2.27%,6.22%,-4.56%,.55%,-3.02%,3.04%,6.17%,-2.81%,-1.97%,-.34%,1.62%,.72%,2.68%,6.28%,-1.02%,-.48%,-.04%,-1.73%,6.8%,-8.63%,2.9%,6.22%,3.81%,-.39%,4.65%,3.9%,5.32%,4.51%,6.94%,7.03%,7.24%,7.9%,8.35%,7.77%,9.22%,10.3%,5.57%,7.6%,5.06%,4.69%,2.92%,3.76%,3.53%,4.03%,1.44%,-2.79%,6.23%,5.21%,5.37%
Zimbabwe,ZWE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.32%,1.43%,6.24%,-1.11%,4.91%,1.52%,8.37%,1.97%,12.43%,22.57%,8.92%,8.33%,2.6%,6.63%,-1.93%,.46%,-6.86%,-2.71%,3.3%,14.42%,12.53%,2.63%,1.59%,-1.91%,6.94%,2.1%,1.15%,7.55%,5.2%,6.99%,5.53%,-9.02%,1.05%,9.24%,.16%,10.36%,2.68%,2.89%,-.82%,-3.06%,1.44%,-8.89%,-17.%,-5.81%,-5.71%,-3.46%,-3.65%,-17.67%,12.02%,21.45%,14.62%,15.74%,3.2%,1.48%,2.02%,.9%,4.08%,5.01%,-6.33%,-7.82%,8.47%,6.14%,5.34%
